ts_code  ,trade_date,open ,high ,low  ,close,pre_close,change,pct_chg,vol       ,amount      ,K   ,r_1y   ,expiry_t             ,sigma_1y           ,d1                   ,d2                   ,call              ,put                ,close_day_before,return                 ,K   ,r_1y   ,expiry_t             ,sigma_1y          ,d1                   ,d2                   ,call              ,put
000651.SZ,2019-06-04,52.5 ,53.18,51.03,51.48,52.5     ,-1.02 ,-1.9429,370915.46 ,1924963.749 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,52.31           ,0.0036321926973809544  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-06-05,52.2 ,53.31,50.99,52.35,51.48    ,0.87  ,1.69   ,496296.98 ,2596265.207 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,52.5            ,-0.01942857142857149   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-06-06,52.35,53.1 ,51.99,52.6 ,52.35    ,0.25  ,0.4776 ,288392.61 ,1516494.956 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,51.48           ,0.01689976689976699    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-06-10,53.1 ,53.25,52.42,53.04,52.6     ,0.44  ,0.8365 ,359323.14 ,1904413.905 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,52.35           ,0.004775549188156638   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-06-11,52.9 ,54.07,52.37,53.95,53.04    ,0.91  ,1.7157 ,703451.56 ,3761480.35  ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,52.6            ,0.0083650190114068     ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-06-12,53.82,53.83,52.51,52.78,53.95    ,-1.17 ,-2.1687,486307.04 ,2579947.892 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,53.04           ,0.01715686274509811    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-06-13,52.4 ,52.41,50.77,51.27,52.78    ,-1.51 ,-2.8609,689768.08 ,3531723.069 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,53.95           ,-0.021686746987951838  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-06-14,51.28,51.94,51.08,51.16,51.27    ,-0.11 ,-0.2146,329458.34 ,1694156.126 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,52.78           ,-0.02860932171276995   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-06-17,51.2 ,51.65,50.57,50.74,51.16    ,-0.42 ,-0.821 ,386913.09 ,1971143.608 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,51.27           ,-0.0021455041934855964 ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-06-18,50.86,51.21,50.41,51.03,50.74    ,0.29  ,0.5715 ,285225.58 ,1450253.455 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,51.16           ,-0.008209538702110919  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
